100	 1.92
99	 24.31
98	 36.65
97	 63.31
96	 72.3
95	 92.74
94	 98.84
93	 112.97
92	 127.61
91	 157.17
90	 175.69
89	 187.68
88	 195.7
87	 208.4
86	 226.58
85	 243.55
84	 251.61
83	 260.56
82	 291.38
81	 312.92
80	 335.98
79	 342.75
78	 353.37
77	 374.56
76	 408.84
75	 425.68
74	 449.84
73	 501.47
72	 527.17
71	 566.51
70	 575.2
69	 581.05
68	 593.97
67	 612.07
66	 628.54
65	 658.8
64	 666.73
63	 679.42
62	 696.44
61	 706.3
60	 720.42
59	 734.7
58	 746.91
57	 751.85
56	 760.87
55	 770.6
54	 784.52
53	 796.92
52	 804.76
51	 836.55
50	 842.56
49	 851.66
48	 866.69
47	 872.89
46	 899.33
45	 909.52
44	 913.48
43	 929.39
42	 937.83
41	 970.2
40	 985.22
39	 1006.67
38	 1009.51
37	 1022.1
36	 1028.15
35	 1038.45
34	 1046.33
33	 1060.4
32	 1071.18
31	 1080.73
30	 1091.19
29	 1096.62
28	 1103.95
27	 1112.34
26	 1123.87
25	 1138.14
24	 1158.66
23	 1181.16
22	 1194.88
21	 1208.55
20	 1234.48
19	 1240.53
18	 1254.04
17	 1262.79
16	 1285.32
15	 1298.56
14	 1305.69
13	 1311.33
12	 1320.13
11	 1326.59
10	 1336.68
9	 1343.17
8	 1351.37
7	 1360.87
6	 1373.72
5	 1376.48
4	 1381.74
3	 1384.45
2	 1387.81
1	 1390.36
